,F1Y1,F2Y2,F3Y3,F4Y4,X1,X2,X3
0,8525.955206677208,7632.262993142542,771.3786541616548,792.3288169203627,1.0,1.0,1.0
1,9945.726661377903,7822.381197911335,1172.2545748956595,630.7077873732944,1.0,1.0,2.0
2,7456.070603435353,6423.395148136496,1038.4295101546165,745.6880869214694,1.0,1.0,3.0
3,6631.763206153471,6825.664510854345,1162.0363987828912,751.1684431696374,1.0,1.0,4.0
4,6493.428475377481,6560.0065387263385,1079.3225342268656,723.5450453647038,1.0,1.0,5.0
5,5415.5142893376,5145.165547459777,1061.1515775828807,686.2664705919083,1.0,1.0,6.0
6,6099.53036379486,6048.843234778786,1163.2161468148088,684.479797168359,1.0,1.0,7.0
7,4568.463972071651,8943.264524882825,828.1767503146614,564.3737459031504,1.0,1.0,8.0
8,3017.4026154209,8149.079873532028,1106.9892485793691,419.1019656084885,1.0,1.0,9.0
9,2979.484982066845,9503.231961020152,897.667265257357,346.5160752319126,1.0,1.0,10.0
10,6194.949031336401,8160.77262718921,723.6643183767042,617.0790450278969,1.0,1.0,11.0
11,6098.379738792986,8423.131542206673,701.8700971778576,698.3384509088532,1.0,1.0,12.0
12,6552.1590817032065,13682.823185860594,972.2642013368242,435.76340514018193,1.0,1.0,13.0
13,4515.058703587551,8163.919979032127,745.0037757705672,785.5163586000099,1.0,1.0,14.0
14,2782.904228263141,6999.363831682843,890.7170084051888,443.916006489447,1.0,1.0,15.0
15,7299.685690170246,6056.938155256502,834.9190660851145,670.1588136233709,1.0,2.0,1.0
16,6737.381702972813,7627.677988558211,1245.7089176892075,934.7525238340924,1.0,2.0,2.0
17,5488.972656148146,5156.312002945249,1176.5698590910183,735.608163468994,1.0,2.0,3.0
18,5846.976442411689,4554.289152788927,772.8045625557693,626.2707241641941,1.0,2.0,4.0
19,6884.657958855436,7172.548177294987,793.2424168717329,616.2807847220799,1.0,2.0,5.0
20,6811.464726911943,8531.655390495776,890.5009476835378,696.5533900323566,1.0,2.0,6.0
