,F1Y1,F2Y2,F3Y3,F4Y4,X1,X2,X3
0,8330.587595072779,9260.370479515257,867.1408512886355,1005.0742098705521,1.0,1.0,1.0
1,8008.589304191841,10991.208428899448,816.3057834654478,1211.0849690936425,1.0,1.0,2.0
2,8238.818020175608,10970.607579252444,821.6063857648032,1278.816626858035,1.0,1.0,3.0
3,8279.037008897943,10610.016360917907,809.7987440208567,1287.5156349703243,1.0,1.0,4.0
4,7776.154854043115,11898.36185954239,863.0246699007155,1182.5055135475525,1.0,1.0,5.0
5,7684.898772833048,11268.111754929714,856.2871563236529,1155.627434754822,1.0,1.0,6.0
6,7365.69191648744,10831.308864816965,811.6231819103705,1146.0027953761798,1.0,1.0,7.0
7,6734.589461356533,10757.669669386289,806.8694397390516,1240.7963040621912,1.0,1.0,8.0
8,6283.6668746609685,10282.0402507999,843.1300298145959,1250.7306403814446,1.0,1.0,9.0
9,6515.137713440471,9734.168101915348,781.9450731283471,1206.7176491146242,1.0,1.0,10.0
10,7344.859892316,8132.064219230975,749.761928788822,1185.9914579748956,1.0,1.0,11.0
11,7113.43063731738,8613.516759600803,806.8296003610596,1142.0581812839266,1.0,1.0,12.0
12,6934.118416246752,9126.73475010722,848.5880228500257,1107.24628998298,1.0,1.0,13.0
13,7553.724913425559,9951.011582984669,790.6511837014648,1165.9948762471397,1.0,1.0,14.0
14,7382.976475030664,9154.934829703952,798.5635983802731,1134.9620772124968,1.0,1.0,15.0
15,8566.266458485186,7189.744990760499,857.5386483481539,984.2313508518722,1.0,2.0,1.0
16,8315.079000011094,7381.965483564237,819.6355398078983,1207.5042246105922,1.0,2.0,2.0
17,8467.332763942048,7112.833978163741,821.3376712789518,1280.7668274077364,1.0,2.0,3.0
18,8486.58753383551,7972.857479353709,812.3611507604646,1294.8020011861677,1.0,2.0,4.0
19,8063.620456533577,8364.040900879558,864.5644949399264,1184.6388104055925,1.0,2.0,5.0
20,7960.703581049032,8598.14634705645,858.6096695385638,1163.239581070426,1.0,2.0,6.0
21,7595.990463660083,8324.01277335178,812.221314465218,1155.865962146933,1.0,2.0,7.0
22,6921.623264042038,8141.391062614909,806.6509479383528,1243.792268176024,1.0,2.0,8.0
