,F1Y1,F2Y2,F3Y3,F4Y4,X1,X2,X3
0,8183.942533599548,7659.169310270243,825.8112396222716,845.0194747882842,1.0,1.0,1.0
1,7253.778278746561,8030.099270356182,823.9773243573081,689.5322227309914,1.0,1.0,2.0
2,6439.21803478103,6871.4752766116235,824.0505574049716,540.4727726473039,1.0,1.0,3.0
3,6501.844295172519,5953.4077730554545,759.12184387259,547.3708889216109,1.0,1.0,4.0
4,5391.485733679417,5703.896287003626,800.5071020541686,441.27666572284147,1.0,1.0,5.0
5,4164.475859539891,5527.173089823621,822.9654862578554,399.09922493155796,1.0,1.0,6.0
6,3739.5594916175596,6457.846730797274,741.6381185945911,407.5382993943671,1.0,1.0,7.0
7,3182.772941315292,6275.790620113784,749.1319781835809,334.9651777257121,1.0,1.0,8.0
8,2743.5127254147874,5850.421799567036,740.9976804626855,220.53490090778814,1.0,1.0,9.0
9,2562.8485938882914,5554.173877127556,637.6026683150146,206.42750173241097,1.0,1.0,10.0
10,2243.688655671216,5506.098377998294,593.8072052993687,142.86467435669715,1.0,1.0,11.0
11,1951.4156687558338,4802.631082684169,562.9744681036898,136.38828105495088,1.0,1.0,12.0
12,1622.251065377477,4200.196748771099,567.9272581293802,93.45718935755383,1.0,1.0,13.0
13,1760.9123352676606,3993.8145541478953,464.8641072789776,39.873372646631424,1.0,1.0,14.0
14,0.011971880806186164,0.03431491824414934,0.005791743046756892,0.004024011437152808,1.0,1.0,15.0
15,8005.961180109427,6042.618202549621,820.5196048349408,859.7833653699358,1.0,2.0,1.0
16,6876.270256371925,6065.716037426476,827.7827553140278,699.1651695476771,1.0,2.0,2.0
17,6232.538005969152,6041.3361879199465,827.7883239592611,526.4184187980159,1.0,2.0,3.0
18,6379.33715146929,5977.112187612197,768.543272166145,547.8502804879215,1.0,2.0,4.0
19,5364.714893945823,6400.963253555189,791.6594988659033,439.5779323817824,1.0,2.0,5.0
20,4163.056690043677,6233.573535380627,814.0226404375087,387.72281992232956,1.0,2.0,6.0
21,3756.087030091023,5646.797930633475,734.8416238641857,397.11115892297516,1.0,2.0,7.0
22,3169.833580963251,5438.82936198174,742.9115267473233,326.9801572779842,1.0,2.0,8.0
23,2726.8702220739524,5286.460600912917,735.6031437347038,214.55686122233055,1.0,2.0,9.0
24,2556.190348950696,5061.206552324519,634.0419155389073,200.1888115252741,1.0,2.0,10.0
25,2232.6303500985814,4598.502733715943,601.222429124469,145.5327023567121,1.0,2.0,11.0
26,1960.9999978848114,4125.590984693763,560.6246611155734,139.06711196213007,1.0,2.0,12.0
27,1629.0415092113653,3870.1740691538525,566.0231009475945,92.9951304526893,1.0,2.0,13.0
28,1757.0986824038696,3877.1235889469426,463.84684765986253,39.92817684760644,1.0,2.0,14.0
29,0.012016147243798514,0.03197351859415676,0.005777456672149128,0.003993249930999809,1.0,2.0,15.0
30,8122.92405218878,5225.2491241268135,822.0144879394547,935.9466303037502,1.0,3.0,1.0
31,6937.904521725848,5286.3029371316015,833.9557337080578,757.6155124634333,1.0,3.0,2.0
32,6256.32914117158,5188.063569441275,833.9488952948948,536.8062451476108,1.0,3.0,3.0
33,6402.30562316169,5210.14340005574,778.6293081979779,572.6336680723716,1.0,3.0,4.0
34,5358.428916076435,5681.409771095614,766.0407249888394,463.213819025015,1.0,3.0,5.0
35,4152.499965691244,5559.124430281469,786.8321515784608,396.5176938463053,1.0,3.0,6.0
36,3739.526411733277,5652.70238135371,706.467865221368,400.62132399344614,1.0,3.0,7.0
37,3176.690893911579,5507.614892972797,712.9608379578826,328.61255415764435,1.0,3.0,8.0
38,2729.956101358126,5162.626246653563,703.8811004590666,215.2146122450572,1.0,3.0,9.0
